Timestamp,UTC Nanoseconds,MainObject,Camera.x,Camera.y,Camera.z,Frwd.x,Frwd.y,Frwd.z,Rot.x,Rot.y,Rot.z,Gaze.x,Gaze.y,Gaze.z,Gazedir.x,Gazedir.y,Gazedir.z,KeyPress,TargetName,TargetPosition.x,TargetPosition.y,TargetPosition.z
2024-07-08T15:13:57.2348369-07:00,1720476837234836900,Null,-0.01650994,0.01203444,0.003725946,0.04626635,0.101334,0.9937761,-0.05075113,0.02315806,-0.0002202117,-0.01385657,0.01108913,0.01260997,0.07267791,-0.142243,0.98716,None,t_2_1_2 (4),0.2,-0.1522993,2.06
2024-07-08T15:13:57.2888370-07:00,1720476837288837000,Null,-0.01656054,0.01191693,0.003656715,0.04550328,0.1017554,0.9937682,-0.05096278,0.02277462,-0.0002458901,-0.01398594,0.01110121,0.01261409,0.07360952,-0.1403006,0.9873689,None,t_2_1_2 (4),0.2,-0.1522993,2.06
2024-07-08T15:13:57.3396547-07:00,1720476837339654700,Null,-0.01646332,0.01193918,0.003641963,0.04543545,0.1018751,0.993759,-0.05103683,0.02270925,-0.0008609914,-0.01738145,0.01141028,0.01271112,0.09585541,-0.09321778,0.9910208,None,t_2_1_2 (4),0.2,-0.1522993,2.06
2024-07-08T15:13:57.3865826-07:00,1720476837386582600,Null,-0.01646209,0.0118627,0.003659047,0.04612225,0.1009365,0.9938232,-0.05054904,0.02309091,-0.0001167632,-0.01737279,0.01140669,0.01271132,0.09579608,-0.09335379,0.9910137,None,t_2_1_2 (4),0.2,-0.1522993,2.06
2024-07-08T15:13:57.4403071-07:00,1720476837440307100,Null,-0.01656022,0.01163672,0.003684871,0.04642348,0.1000149,0.9939023,-0.05008008,0.02325529,0.000161274,-0.0173161,0.01139429,0.01271062,0.09571554,-0.09352051,0.9910058,None,t_2_1_2 (4),0.2,-0.1522993,2.06
2024-07-08T15:13:57.4887867-07:00,1720476837488786700,Null,-0.01642292,0.01206421,0.003692135,0.04498417,0.100391,0.9939306,-0.05028125,0.02250533,-0.0004163808,-0.01722237,0.01140024,0.01270899,0.09556339,-0.09358813,0.9910141,None,t_2_1_2 (4),0.2,-0.1522993,2.06
2024-07-08T15:13:57.5419122-07:00,1720476837541912200,Null,-0.01651922,0.01191463,0.003814474,0.04592464,0.101016,0.9938243,-0.05060202,0.0229629,-0.0006897114,-0.01712037,0.01140048,0.01271192,0.09548111,-0.09360165,0.9910208,None,t_2_1_2 (4),0.2,-0.1522993,2.06
2024-07-08T15:13:57.5890888-07:00,1720476837589088800,Null,-0.0164902,0.01193555,0.003804542,0.04719663,0.09994449,0.993873,-0.05005528,0.02362115,-0.0002672351,-0.0169844,0.01140149,0.0127128,0.09541262,-0.09366915,0.991021,None,t_2_1_2 (4),0.2,-0.1522993,2.06
2024-07-08T15:13:57.6392714-07:00,1720476837639271400,Null,-0.0163827,0.01164799,0.003868967,0.04704175,0.09934717,0.9939402,-0.04976392,0.02352508,-0.0006323631,-0.01685081,0.01139054,0.01271592,0.09532476,-0.09373746,0.9910229,None,t_2_1_2 (4),0.2,-0.1522993,2.06
2024-07-08T15:13:57.6886816-07:00,1720476837688681600,Null,-0.01647256,0.01153796,0.004048057,0.04791401,0.09709244,0.9941214,-0.04863907,0.02394898,-0.0008892653,-0.01671178,0.01137491,0.01272512,0.09526476,-0.09387049,0.9910161,None,t_2_1_2 (4),0.2,-0.1522993,2.06
